GrLivArea,BedroomAbvGr,FullBath,SalePrice
2290,4,2,122500
2450,3,2,340000
1144,3,1,124000
1844,3,2,223000
1416,3,2,179900
1069,2,2,127500
848,1,1,136500
2201,4,2,274970
1344,2,1,144000
1252,3,1,142000
2127,3,2,271000
1558,3,1,140000
804,2,1,119000
1440,3,2,182900
1838,4,2,192140
958,2,2,143750
968,4,2,64500
1792,3,2,186500
1126,3,2,160000
1537,3,1,174000
864,3,1,120500
1932,2,2,394617
1236,2,1,149700
1725,3,2,197000
2555,3,2,191000
848,1,1,149300
2007,3,2,310000
952,2,1,121000
1422,3,2,179600
913,3,1,129000
1188,3,1,157900
2090,3,2,240000
1346,2,1,112000
630,1,1,92000
1792,4,2,136000
1578,3,2,287090
1072,2,1,145000
1140,3,1,84500
1221,2,2,185000
1647,3,2,175000
2073,3,2,210000
2340,4,2,266500
1078,2,1,142125
1256,3,1,147500
